2025-02-10 11:52:15.135  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 26 00 00 00  2025-02-10 11:52:15.135
2025-02-10 11:52:15.137  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 27 00 00 00  2025-02-10 11:52:15.137
2025-02-10 11:52:15.140  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 28 00 00 00  2025-02-10 11:52:15.139
2025-02-10 11:52:15.148  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 29 00 00 00  2025-02-10 11:52:15.147
2025-02-10 11:52:15.150  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 2A 00 00 00  2025-02-10 11:52:15.150
2025-02-10 11:52:15.153  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 2B 00 00 00  2025-02-10 11:52:15.152
2025-02-10 11:52:15.157  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 2C 00 00 00  2025-02-10 11:52:15.154
2025-02-10 11:52:15.160  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 2D 00 00 00  2025-02-10 11:52:15.160
2025-02-10 11:52:15.163  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 2E 00 00 00  2025-02-10 11:52:15.163
2025-02-10 11:52:15.165  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 2F 00 00 00  2025-02-10 11:52:15.165
2025-02-10 11:52:15.167  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 30 E0 B0 0F  2025-02-10 11:52:15.166
2025-02-10 11:52:15.168  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 31 E0 C7 97  2025-02-10 11:52:15.168
2025-02-10 11:52:15.173  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 32 E0 9D 6F  2025-02-10 11:52:15.173
2025-02-10 11:52:15.176  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 33 00 56 64  2025-02-10 11:52:15.175
2025-02-10 11:52:15.178  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 34 00 56 64  2025-02-10 11:52:15.178
2025-02-10 11:52:15.181  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 35 00 56 64  2025-02-10 11:52:15.181
2025-02-10 11:52:15.186  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 36 7F C8 E7  2025-02-10 11:52:15.185
2025-02-10 11:52:15.189  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 37 80 69 CF  2025-02-10 11:52:15.189
2025-02-10 11:52:15.191  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 38 80 08 B8  2025-02-10 11:52:15.191
2025-02-10 11:52:15.194  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 39 75 57 77  2025-02-10 11:52:15.193
2025-02-10 11:52:15.196  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 3A 75 BD 18  2025-02-10 11:52:15.196
2025-02-10 11:52:15.198  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 3B 75 A7 C5  2025-02-10 11:52:15.198
2025-02-10 11:52:15.204  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 3C 75 C1 33  2025-02-10 11:52:15.203
2025-02-10 11:52:15.207  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 3D 75 FA 73  2025-02-10 11:52:15.206
2025-02-10 11:52:15.209  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 3E 75 5E 32  2025-02-10 11:52:15.208
2025-02-10 11:52:15.213  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 3F 7F 7F A8  2025-02-10 11:52:15.213
2025-02-10 11:52:15.217  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 40 80 A6 90  2025-02-10 11:52:15.217
2025-02-10 11:52:15.220  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 41 80 C4 ED  2025-02-10 11:52:15.220
2025-02-10 11:52:15.222  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 42 7A 5B 7C  2025-02-10 11:52:15.222
2025-02-10 11:52:15.225  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 43 7B B9 0D  2025-02-10 11:52:15.225
2025-02-10 11:52:15.229  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 44 7B 79 3B  2025-02-10 11:52:15.228
2025-02-10 11:52:15.233  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 45 00 00 00  2025-02-10 11:52:15.232
2025-02-10 11:52:15.235  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 46 00 00 00  2025-02-10 11:52:15.235
2025-02-10 11:52:15.237  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 47 00 00 00  2025-02-10 11:52:15.237
2025-02-10 11:52:15.243  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 48 E0 2C 99  2025-02-10 11:52:15.242
2025-02-10 11:52:15.246  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 49 E0 33 30  2025-02-10 11:52:15.246
2025-02-10 11:52:15.250  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 4A E0 3D 75  2025-02-10 11:52:15.249
2025-02-10 11:52:15.251  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 4B 00 56 04  2025-02-10 11:52:15.251
2025-02-10 11:52:15.253  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 4C 00 56 04  2025-02-10 11:52:15.253
2025-02-10 11:52:15.259  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 4D 00 56 04  2025-02-10 11:52:15.258
2025-02-10 11:52:15.262  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 4E 00 00 00  2025-02-10 11:52:15.262
2025-02-10 11:52:15.266  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 4F 00 00 00  2025-02-10 11:52:15.265
2025-02-10 11:52:15.270  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 50 00 00 00  2025-02-10 11:52:15.269
2025-02-10 11:52:15.273  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 51 00 65 FC  2025-02-10 11:52:15.273
2025-02-10 11:52:15.276  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 52 00 64 DE  2025-02-10 11:52:15.276
2025-02-10 11:52:15.280  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 53 00 63 83  2025-02-10 11:52:15.280
2025-02-10 11:52:15.287  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 54 00 00 00  2025-02-10 11:52:15.286
2025-02-10 11:52:15.290  3128-3169  SocketCAN               com.skyla.qbi                        E  Qbi Error RX: 5D 00 55 00 00 00  2025-02-10 11:52:15.289
